Well_position	index
H9	iTRUE5E36
J9	iTRUE5E37
L9	iTRUE5E38
N9	iTRUE5E39
P9	iTRUE5E40
B11	iTRUE5E41
D11	iTRUE5E42
F11	iTRUE5E43
H11	iTRUE5E44
J11	iTRUE5E45
L11	iTRUE5E46
N11	iTRUE5E47
P11	iTRUE5E48
B13	iTRUE5E49
D13	iTRUE5E50
F13	iTRUE5E51
H13	iTRUE5E52
J13	iTRUE5E53
L13	iTRUE5E54
N13	iTRUE5E55
P13	iTRUE5E56
B15	iTRUE5E57
D15	iTRUE5E58
F15	iTRUE5E59
H15	iTRUE5E60
J15	iTRUE5E61
L15	iTRUE5E62
N15	iTRUE5E63
P15	iTRUE5E64
B17	iTRUE5E65
D17	iTRUE5E66
F17	iTRUE5E67
H17	iTRUE5E68
J17	iTRUE5E69
L17	iTRUE5E70
N17	iTRUE5E71
P17	iTRUE5E72
B19	iTRUE5E73
D19	iTRUE5E74
F19	iTRUE5E75
H19	iTRUE5E76
J19	iTRUE5E77
L19	iTRUE5E78
N19	iTRUE5E79
P19	iTRUE5E80
B21	iTRUE5E81
D21	iTRUE5E82
F21	iTRUE5E83
H21	iTRUE5E84
J21	iTRUE5E85
L21	iTRUE5E86
N21	iTRUE5E87
P21	iTRUE5E88
B23	iTRUE5E89
D23	iTRUE5E90
F23	iTRUE5E91
H23	iTRUE5E92
J23	iTRUE5E93
L23	iTRUE5E94
N23	iTRUE5E95
P23	iTRUE5E96
B2	iTRUE7G01
D2	iTRUE7G02
F2	iTRUE7G03
H2	iTRUE7G04
J2	iTRUE7G05
L2	iTRUE7G06
N2	iTRUE7G07
P2	iTRUE7G08
B4	iTRUE7G09
D4	iTRUE7G10
F4	iTRUE7G11
H4	iTRUE7G12
J4	iTRUE7G13
L4	iTRUE7G14
N4	iTRUE7G15
P4	iTRUE7G16
B6	iTRUE7G17
D6	iTRUE7G18
F6	iTRUE7G19
H6	iTRUE7G20
J6	iTRUE7G21
L6	iTRUE7G22
N6	iTRUE7G23
P6	iTRUE7G24
B8	iTRUE7G25
D8	iTRUE7G26
F8	iTRUE7G27
H8	iTRUE7G28
J8	iTRUE7G29
L8	iTRUE7G30
N8	iTRUE7G31
P8	iTRUE7G32
B10	iTRUE7G33
D10	iTRUE7G34
F10	iTRUE7G35
H10	iTRUE7G36
J10	iTRUE7G37
L10	iTRUE7G38
N10	iTRUE7G39
P10	iTRUE7G40
B12	iTRUE7G41
D12	iTRUE7G42
F12	iTRUE7G43
H12	iTRUE7G44
J12	iTRUE7G45
L12	iTRUE7G46
N12	iTRUE7G47
P12	iTRUE7G48
B14	iTRUE7G49
D14	iTRUE7G50
F14	iTRUE7G51
H14	iTRUE7G52
J14	iTRUE7G53
L14	iTRUE7G54
N14	iTRUE7G55
P14	iTRUE7G56
B16	iTRUE7G57
D16	iTRUE7G58
F16	iTRUE7G59
H16	iTRUE7G60
J16	iTRUE7G61
L16	iTRUE7G62
N16	iTRUE7G63
P16	iTRUE7G64
B18	iTRUE7G65
D18	iTRUE7G66
F18	iTRUE7G67
H18	iTRUE7G68
J18	iTRUE7G69
L18	iTRUE7G70
N18	iTRUE7G71
P18	iTRUE7G72
B20	iTRUE7G73
D20	iTRUE7G74
F20	iTRUE7G75
H20	iTRUE7G76
J20	iTRUE7G77
L20	iTRUE7G78
N20	iTRUE7G79
P20	iTRUE7G80
B22	iTRUE7G81
D22	iTRUE7G82
F22	iTRUE7G83
H22	iTRUE7G84
J22	iTRUE7G85
L22	iTRUE7G86
N22	iTRUE7G87
P22	iTRUE7G88
B24	iTRUE7G89
D24	iTRUE7G90
F24	iTRUE7G91
H24	iTRUE7G92
J24	iTRUE7G93
L24	iTRUE7G94
N24	iTRUE7G95
P24	iTRUE7G96
